category,cost ,material,materialpreference,shelflifemonths,size,sustainabilityscore,volumeinlitres
Medical Supplies Packaging,98.95,Aluminum,Recyclable,46,Medium,0.95,10
Medical Supplies Packaging,20.99,Recycled Cardboard,Recyclable,3,Large,0.9,1
Medical Supplies Packaging,11.91,Glass,Recyclable,1,Medium,0.85,1
Medical Supplies Packaging,101.86,Glass,Recyclable,31,Medium,0.7,10
Medical Supplies Packaging,24.25,Recycled Cardboard,Recyclable,11,Small,0.95,5
Medical Supplies Packaging,8.46,Recycled Cardboard,Recyclable,1,Large,0.95,0.5
Medical Supplies Packaging,99.85,Paper,Recyclable,49,Medium,0.8,10
Medical Supplies Packaging,4.69,Biodegradable Foam,Biodegradable,3,Small,0.85,1
Medical Supplies Packaging,48.34,Glass,Recyclable,12,Medium,0.9,5
Medical Supplies Packaging,21.58,Glass,Recyclable,5,Medium,0.85,2
Medical Supplies Packaging,201.53,Biodegradable Foam,Biodegradable,17,Large,0.95,10
Medical Supplies Packaging,24.34,Biodegradable Plastic,Biodegradable,6,Small,0.7,5
Medical Supplies Packaging,49.76,Biodegradable Foam,Biodegradable,15,Medium,0.8,5
Medical Supplies Packaging,21.88,Aluminum,Recyclable,7,Medium,0.95,2
Medical Supplies Packaging,10.55,Paper,Recyclable,4,Medium,0.8,1
Medical Supplies Packaging,41.43,Glass,Recyclable,10,Large,0.7,2
Medical Supplies Packaging,8.04,Biodegradable Plastic,Biodegradable,2,Large,0.7,0.5
Medical Supplies Packaging,8.3,Recycled Cardboard,Recyclable,1,Large,0.95,0.5
Medical Supplies Packaging,39.85,Aluminum,Recyclable,7,Large,0.9,2
Medical Supplies Packaging,100.52,Recycled Cardboard,Recyclable,49,Medium,0.8,10
Medical Supplies Packaging,5.72,Biodegradable Plastic,Biodegradable,3,Small,0.7,1
Medical Supplies Packaging,20.59,Recycled Cardboard,Recyclable,10,Medium,0.8,2
Medical Supplies Packaging,101.73,Paper,Recyclable,12,Large,0.7,5
Medical Supplies Packaging,10.93,Paper,Recyclable,1,Large,0.7,0.5
Medical Supplies Packaging,18.09,Biodegradable Foam,Biodegradable,6,Medium,0.85,2
Medical Supplies Packaging,11.15,Biodegradable Plastic,Biodegradable,1,Large,0.9,0.5
Medical Supplies Packaging,99.85,Biodegradable Foam,Biodegradable,12,Large,0.85,5
Medical Supplies Packaging,10.19,Paper,Recyclable,1,Large,0.8,0.5
Medical Supplies Packaging,5.84,Aluminum,Recyclable,4,Small,0.9,1
Medical Supplies Packaging,41.41,Paper,Recyclable,8,Large,0.95,2
Medical Supplies Packaging,40.06,Glass,Recyclable,4,Large,0.85,2
Medical Supplies Packaging,20.58,Glass,Recyclable,2,Large,0.8,1
Medical Supplies Packaging,19.31,Recycled Cardboard,Recyclable,10,Medium,0.8,2
Medical Supplies Packaging,39.08,Recycled Cardboard,Recyclable,4,Large,0.7,2
Medical Supplies Packaging,26.06,Recycled Cardboard,Recyclable,20,Small,0.7,5
Medical Supplies Packaging,38.07,Recycled Cardboard,Recyclable,9,Large,1,2
Medical Supplies Packaging,98.84,Glass,Recyclable,43,Medium,0.8,10
Medical Supplies Packaging,20.21,Aluminum,Recyclable,5,Medium,0.9,2
Medical Supplies Packaging,38.83,Biodegradable Plastic,Biodegradable,6,Large,0.9,2
Medical Supplies Packaging,9.69,Aluminum,Recyclable,2,Large,0.95,0.5
Medical Supplies Packaging,98.38,Biodegradable Plastic,Biodegradable,15,Medium,0.85,10
Medical Supplies Packaging,50.14,Glass,Recyclable,16,Medium,0.7,5
Medical Supplies Packaging,101.97,Biodegradable Foam,Biodegradable,10,Large,0.7,5
Medical Supplies Packaging,201.08,Biodegradable Foam,Biodegradable,38,Medium,0.8,20
Medical Supplies Packaging,50.05,Biodegradable Plastic,Biodegradable,28,Small,0.85,10
Medical Supplies Packaging,100.09,Recycled Cardboard,Recyclable,64,Small,0.9,20
Medical Supplies Packaging,3.71,Paper,Recyclable,2,Small,0.8,0.5
Medical Supplies Packaging,101.27,Paper,Recyclable,16,Large,1,5
Medical Supplies Packaging,10.19,Recycled Cardboard,Recyclable,3,Medium,0.85,1
Medical Supplies Packaging,201.96,Recycled Cardboard,Recyclable,33,Medium,0.9,20
Medical Supplies Packaging,24.81,Glass,Recyclable,18,Small,0.95,5
Medical Supplies Packaging,101.33,Biodegradable Foam,Biodegradable,91,Small,0.9,20
Medical Supplies Packaging,100.78,Aluminum,Recyclable,34,Medium,0.95,10
Medical Supplies Packaging,8.01,Biodegradable Plastic,Biodegradable,2,Large,0.8,0.5
Medical Supplies Packaging,4.77,Aluminum,Recyclable,2,Small,0.7,1
Medical Supplies Packaging,201.42,Paper,Recyclable,31,Large,0.8,10
Medical Supplies Packaging,3.66,Paper,Recyclable,1,Medium,0.95,0.5
Medical Supplies Packaging,24.95,Aluminum,Recyclable,21,Small,1,5
Medical Supplies Packaging,41.74,Paper,Recyclable,7,Large,0.8,2
Medical Supplies Packaging,23.01,Recycled Cardboard,Recyclable,12,Small,0.8,5
Medical Supplies Packaging,400.54,Recycled Cardboard,Recyclable,82,Large,1,20
Medical Supplies Packaging,5.05,Paper,Recyclable,3,Small,1,1
Medical Supplies Packaging,11.01,Paper,Recyclable,10,Small,1,2
Medical Supplies Packaging,8.97,Biodegradable Plastic,Biodegradable,2,Large,0.7,0.5
Medical Supplies Packaging,18.02,Biodegradable Plastic,Biodegradable,4,Medium,0.85,2
Medical Supplies Packaging,101.48,Biodegradable Foam,Biodegradable,32,Medium,0.95,10
Medical Supplies Packaging,23.48,Paper,Recyclable,20,Small,1,5
Medical Supplies Packaging,49.25,Biodegradable Foam,Biodegradable,6,Medium,1,5
Medical Supplies Packaging,401.44,Recycled Cardboard,Recyclable,35,Large,0.9,20
Medical Supplies Packaging,99.76,Biodegradable Foam,Biodegradable,42,Medium,0.7,10
Medical Supplies Packaging,38.32,Glass,Recyclable,4,Large,0.95,2
Medical Supplies Packaging,38.57,Paper,Recyclable,6,Large,1,2
Medical Supplies Packaging,9.23,Aluminum,Recyclable,7,Small,0.7,2
Medical Supplies Packaging,99.14,Recycled Cardboard,Recyclable,15,Medium,0.7,10
Medical Supplies Packaging,2.18,Paper,Recyclable,1,Small,0.95,0.5
Medical Supplies Packaging,98.94,Biodegradable Foam,Biodegradable,6,Large,0.85,5
Medical Supplies Packaging,99.26,Recycled Cardboard,Recyclable,89,Small,0.8,20
Medical Supplies Packaging,98.4,Recycled Cardboard,Recyclable,9,Large,0.8,5
Medical Supplies Packaging,100.56,Biodegradable Plastic,Biodegradable,44,Medium,1,10
Medical Supplies Packaging,99.89,Biodegradable Foam,Biodegradable,16,Large,0.95,5
Medical Supplies Packaging,24.49,Biodegradable Plastic,Biodegradable,9,Small,1,5
Medical Supplies Packaging,38.03,Glass,Recyclable,4,Large,0.9,2
Medical Supplies Packaging,98.4,Biodegradable Foam,Biodegradable,7,Large,1,5
Medical Supplies Packaging,41.91,Glass,Recyclable,10,Large,0.8,2
Medical Supplies Packaging,200.44,Recycled Cardboard,Recyclable,43,Large,0.9,10
Medical Supplies Packaging,400.62,Paper,Recyclable,27,Large,0.8,20
Medical Supplies Packaging,25.57,Paper,Recyclable,21,Small,0.85,5
Medical Supplies Packaging,10.3,Glass,Recyclable,1,Large,0.7,0.5
Medical Supplies Packaging,51.07,Paper,Recyclable,31,Small,0.8,10
Medical Supplies Packaging,10.21,Recycled Cardboard,Recyclable,2,Large,0.85,0.5
Medical Supplies Packaging,8.78,Aluminum,Recyclable,4,Medium,0.85,1
Medical Supplies Packaging,3.73,Biodegradable Plastic,Biodegradable,1,Small,0.85,0.5
Medical Supplies Packaging,11.78,Aluminum,Recyclable,1,Medium,0.95,1
Medical Supplies Packaging,198.39,Biodegradable Plastic,Biodegradable,20,Large,0.85,10
Medical Supplies Packaging,200.18,Aluminum,Recyclable,11,Large,0.7,10
Medical Supplies Packaging,201.27,Biodegradable Foam,Biodegradable,36,Large,0.7,10
Medical Supplies Packaging,18.66,Aluminum,Recyclable,3,Large,0.8,1
Medical Supplies Packaging,20.07,Recycled Cardboard,Recyclable,9,Medium,0.95,2
Medical Supplies Packaging,99.89,Aluminum,Recyclable,23,Large,0.95,5
Medical Supplies Packaging,50.91,Glass,Recyclable,22,Medium,1,5
Medical Supplies Packaging,3.96,Aluminum,Recyclable,4,Small,0.8,1
Medical Supplies Packaging,51.23,Paper,Recyclable,13,Medium,0.7,5
Medical Supplies Packaging,201.17,Biodegradable Plastic,Biodegradable,16,Large,0.9,10
Medical Supplies Packaging,101.17,Paper,Recyclable,84,Small,0.8,20
Medical Supplies Packaging,25.76,Glass,Recyclable,10,Small,0.8,5
Medical Supplies Packaging,101.15,Glass,Recyclable,75,Small,0.85,20
Medical Supplies Packaging,398.25,Paper,Recyclable,26,Large,0.85,20
Medical Supplies Packaging,50.55,Biodegradable Foam,Biodegradable,25,Small,0.8,10
Medical Supplies Packaging,199.55,Biodegradable Plastic,Biodegradable,32,Large,0.8,10
Medical Supplies Packaging,51.92,Aluminum,Recyclable,23,Small,0.7,10
Medical Supplies Packaging,99.63,Recycled Cardboard,Recyclable,14,Large,0.95,5
Medical Supplies Packaging,19.2,Biodegradable Foam,Biodegradable,3,Medium,0.85,2
Medical Supplies Packaging,1.05,Aluminum,Recyclable,2,Small,1,0.5
Medical Supplies Packaging,48.23,Paper,Recyclable,23,Small,0.9,10
Medical Supplies Packaging,0.97,Biodegradable Foam,Biodegradable,2,Small,0.95,0.5
Medical Supplies Packaging,26.73,Paper,Recyclable,12,Small,1,5
Medical Supplies Packaging,51.51,Biodegradable Plastic,Biodegradable,8,Medium,0.95,5
Medical Supplies Packaging,398.98,Aluminum,Recyclable,88,Large,0.95,20
Medical Supplies Packaging,8.71,Biodegradable Plastic,Biodegradable,7,Small,0.8,2
Medical Supplies Packaging,49.32,Paper,Recyclable,21,Medium,0.8,5
Medical Supplies Packaging,99.25,Recycled Cardboard,Recyclable,71,Small,0.95,20
Medical Supplies Packaging,19.69,Biodegradable Plastic,Biodegradable,4,Medium,0.7,2
Medical Supplies Packaging,199.97,Recycled Cardboard,Recyclable,31,Large,0.8,10
Medical Supplies Packaging,6.47,Biodegradable Plastic,Biodegradable,2,Medium,0.7,0.5
Medical Supplies Packaging,51.65,Biodegradable Plastic,Biodegradable,6,Medium,0.95,5
Medical Supplies Packaging,21,Glass,Recyclable,3,Large,0.85,1
Medical Supplies Packaging,11.5,Biodegradable Foam,Biodegradable,4,Small,1,2
Medical Supplies Packaging,48.39,Recycled Cardboard,Recyclable,39,Small,0.8,10
Medical Supplies Packaging,400.62,Biodegradable Plastic,Biodegradable,76,Large,0.8,20
Automotive Parts Packaging,8.87,Aluminum,Recyclable,1,Large,0.7,0.5
Automotive Parts Packaging,400.59,Aluminum,Recyclable,54,Large,1,20
Automotive Parts Packaging,10.12,Glass,Recyclable,5,Medium,0.85,1
Automotive Parts Packaging,6.68,Recycled Cardboard,Recyclable,5,Small,0.8,1
Automotive Parts Packaging,5.53,Paper,Recyclable,1,Small,1,1
Automotive Parts Packaging,199.64,Paper,Recyclable,95,Medium,0.95,20
Automotive Parts Packaging,21.91,Paper,Recyclable,9,Medium,0.95,2
Automotive Parts Packaging,41.86,Aluminum,Recyclable,5,Large,0.95,2
Automotive Parts Packaging,0.6,Biodegradable Plastic,Biodegradable,1,Small,0.95,0.5
Automotive Parts Packaging,51.68,Biodegradable Foam,Biodegradable,14,Medium,0.95,5
Automotive Parts Packaging,99.98,Biodegradable Plastic,Biodegradable,67,Small,0.95,20
Automotive Parts Packaging,200.72,Recycled Cardboard,Recyclable,62,Medium,1,20
Automotive Parts Packaging,23.43,Biodegradable Plastic,Biodegradable,9,Small,0.85,5
Automotive Parts Packaging,99.46,Aluminum,Recyclable,89,Small,0.85,20
Automotive Parts Packaging,4.54,Recycled Cardboard,Recyclable,2,Medium,0.8,0.5
Automotive Parts Packaging,198.1,Biodegradable Foam,Biodegradable,71,Medium,1,20
Automotive Parts Packaging,9.52,Biodegradable Foam,Biodegradable,8,Small,1,2
Automotive Parts Packaging,19.77,Biodegradable Plastic,Biodegradable,5,Large,0.95,1
Automotive Parts Packaging,401.3,Paper,Recyclable,29,Large,1,20
Automotive Parts Packaging,5.54,Recycled Cardboard,Recyclable,4,Small,0.9,1
Automotive Parts Packaging,20.49,Biodegradable Foam,Biodegradable,8,Medium,0.8,2
Automotive Parts Packaging,3.1,Biodegradable Plastic,Biodegradable,1,Small,0.7,0.5
Automotive Parts Packaging,99.56,Recycled Cardboard,Recyclable,62,Small,1,20
Automotive Parts Packaging,201.03,Biodegradable Foam,Biodegradable,92,Medium,0.95,20
Automotive Parts Packaging,101.65,Biodegradable Foam,Biodegradable,100,Small,0.95,20
Automotive Parts Packaging,49.57,Aluminum,Recyclable,27,Small,0.8,10
Automotive Parts Packaging,24.35,Biodegradable Plastic,Biodegradable,18,Small,0.95,5
Automotive Parts Packaging,18.28,Biodegradable Plastic,Biodegradable,3,Large,0.95,1
Automotive Parts Packaging,11.85,Recycled Cardboard,Recyclable,3,Medium,0.95,1
Automotive Parts Packaging,101.96,Paper,Recyclable,23,Large,0.7,5
Automotive Parts Packaging,399.92,Recycled Cardboard,Recyclable,59,Large,0.8,20
Automotive Parts Packaging,8.04,Glass,Recyclable,7,Small,0.7,2
Automotive Parts Packaging,20.44,Biodegradable Foam,Biodegradable,3,Large,1,1
Automotive Parts Packaging,6.8,Biodegradable Foam,Biodegradable,2,Small,0.85,1
Automotive Parts Packaging,5.91,Aluminum,Recyclable,2,Small,0.85,1
Automotive Parts Packaging,41.04,Recycled Cardboard,Recyclable,8,Large,0.9,2
Automotive Parts Packaging,98.61,Recycled Cardboard,Recyclable,33,Medium,1,10
Automotive Parts Packaging,98.71,Biodegradable Foam,Biodegradable,17,Large,0.9,5
Automotive Parts Packaging,50.9,Biodegradable Foam,Biodegradable,29,Small,0.7,10
Automotive Parts Packaging,9.68,Glass,Recyclable,7,Small,0.7,2
Automotive Parts Packaging,199.21,Aluminum,Recyclable,47,Medium,0.95,20
Automotive Parts Packaging,398.35,Biodegradable Foam,Biodegradable,38,Large,0.8,20
Automotive Parts Packaging,101.89,Paper,Recyclable,89,Small,0.8,20
Automotive Parts Packaging,99.49,Recycled Cardboard,Recyclable,54,Small,0.9,20
Automotive Parts Packaging,51.85,Glass,Recyclable,28,Small,0.7,10
Automotive Parts Packaging,48.91,Glass,Recyclable,13,Medium,0.9,5
Automotive Parts Packaging,200.62,Recycled Cardboard,Recyclable,17,Large,0.7,10
Automotive Parts Packaging,9.67,Biodegradable Foam,Biodegradable,2,Large,0.8,0.5
Automotive Parts Packaging,199.54,Glass,Recyclable,45,Large,1,10
Automotive Parts Packaging,3.89,Recycled Cardboard,Recyclable,2,Small,0.85,0.5
Automotive Parts Packaging,398.15,Recycled Cardboard,Recyclable,36,Large,1,20
Automotive Parts Packaging,201.01,Aluminum,Recyclable,23,Medium,0.85,20
Automotive Parts Packaging,101.56,Glass,Recyclable,19,Medium,0.8,10
Automotive Parts Packaging,41.25,Biodegradable Plastic,Biodegradable,5,Large,1,2
Automotive Parts Packaging,2.12,Paper,Recyclable,2,Small,1,0.5
Automotive Parts Packaging,3.85,Aluminum,Recyclable,2,Small,0.85,1
Automotive Parts Packaging,10.35,Biodegradable Plastic,Biodegradable,2,Large,0.9,0.5
Automotive Parts Packaging,11.05,Glass,Recyclable,10,Small,1,2
Automotive Parts Packaging,5.27,Glass,Recyclable,2,Medium,0.7,0.5
Automotive Parts Packaging,41.42,Paper,Recyclable,10,Large,0.7,2
Automotive Parts Packaging,201.12,Paper,Recyclable,41,Large,0.9,10
Automotive Parts Packaging,6.5,Biodegradable Foam,Biodegradable,1,Medium,0.85,0.5
Automotive Parts Packaging,39.02,Biodegradable Plastic,Biodegradable,7,Large,0.95,2
Automotive Parts Packaging,49.34,Aluminum,Recyclable,19,Medium,0.8,5
Automotive Parts Packaging,18.64,Biodegradable Plastic,Biodegradable,3,Large,0.85,1
Automotive Parts Packaging,1.22,Biodegradable Foam,Biodegradable,2,Small,0.85,0.5
Automotive Parts Packaging,20.59,Glass,Recyclable,7,Medium,0.8,2
Automotive Parts Packaging,18.89,Biodegradable Plastic,Biodegradable,2,Large,0.8,1
Automotive Parts Packaging,99.95,Recycled Cardboard,Recyclable,10,Medium,0.9,10
Automotive Parts Packaging,20.47,Glass,Recyclable,1,Large,0.85,1
Automotive Parts Packaging,25.59,Biodegradable Foam,Biodegradable,17,Small,0.85,5
Automotive Parts Packaging,20.16,Biodegradable Foam,Biodegradable,2,Large,0.8,1
Automotive Parts Packaging,99.12,Aluminum,Recyclable,7,Large,0.85,5
Automotive Parts Packaging,38.37,Paper,Recyclable,7,Large,0.9,2
Automotive Parts Packaging,19.92,Recycled Cardboard,Recyclable,2,Large,0.7,1
Automotive Parts Packaging,6.95,Biodegradable Foam,Biodegradable,1,Small,0.8,1
Automotive Parts Packaging,24.15,Paper,Recyclable,17,Small,0.95,5
Automotive Parts Packaging,6.28,Paper,Recyclable,3,Small,0.95,1
Automotive Parts Packaging,5.88,Biodegradable Plastic,Biodegradable,1,Medium,0.9,0.5
Automotive Parts Packaging,200.24,Glass,Recyclable,27,Medium,0.8,20
Automotive Parts Packaging,18.77,Aluminum,Recyclable,1,Large,1,1
Automotive Parts Packaging,5.3,Paper,Recyclable,1,Medium,0.95,0.5
Automotive Parts Packaging,6.14,Biodegradable Plastic,Biodegradable,4,Small,0.95,1
Automotive Parts Packaging,21.9,Biodegradable Foam,Biodegradable,2,Large,0.8,1
Automotive Parts Packaging,201,Paper,Recyclable,45,Large,0.95,10
Automotive Parts Packaging,9.79,Glass,Recyclable,2,Large,0.95,0.5
Automotive Parts Packaging,201.05,Biodegradable Plastic,Biodegradable,34,Medium,0.95,20
Automotive Parts Packaging,200.01,Biodegradable Foam,Biodegradable,45,Large,0.95,10
Automotive Parts Packaging,19.82,Biodegradable Plastic,Biodegradable,9,Medium,1,2
Automotive Parts Packaging,200.78,Glass,Recyclable,40,Large,0.8,10
Automotive Parts Packaging,398.09,Paper,Recyclable,95,Large,0.85,20
Automotive Parts Packaging,98.03,Biodegradable Plastic,Biodegradable,35,Medium,0.8,10
Automotive Parts Packaging,2.05,Biodegradable Foam,Biodegradable,1,Small,0.9,0.5
Automotive Parts Packaging,9.16,Recycled Cardboard,Recyclable,4,Medium,1,1
Automotive Parts Packaging,51.42,Recycled Cardboard,Recyclable,38,Small,0.8,10
Automotive Parts Packaging,4.69,Biodegradable Foam,Biodegradable,2,Small,1,1
Automotive Parts Packaging,98.13,Recycled Cardboard,Recyclable,15,Medium,0.7,10
Automotive Parts Packaging,201.89,Recycled Cardboard,Recyclable,24,Large,0.7,10
Automotive Parts Packaging,40.03,Glass,Recyclable,9,Large,0.95,2
Automotive Parts Packaging,98.3,Glass,Recyclable,43,Small,0.9,20
Automotive Parts Packaging,5.21,Glass,Recyclable,2,Medium,0.9,0.5
Automotive Parts Packaging,24.85,Glass,Recyclable,10,Small,0.9,5
Automotive Parts Packaging,98.11,Recycled Cardboard,Recyclable,35,Medium,1,10
Automotive Parts Packaging,1.74,Biodegradable Foam,Biodegradable,1,Small,0.7,0.5
Automotive Parts Packaging,200.54,Biodegradable Foam,Biodegradable,23,Large,0.85,10
Automotive Parts Packaging,99.81,Recycled Cardboard,Recyclable,20,Medium,0.85,10
Automotive Parts Packaging,48.14,Aluminum,Recyclable,44,Small,1,10
Automotive Parts Packaging,100.2,Biodegradable Foam,Biodegradable,49,Small,0.95,20
Automotive Parts Packaging,50.45,Glass,Recyclable,12,Medium,0.95,5
Automotive Parts Packaging,10.59,Paper,Recyclable,2,Large,0.9,0.5
Automotive Parts Packaging,200.45,Recycled Cardboard,Recyclable,21,Large,0.8,10
Automotive Parts Packaging,100.09,Biodegradable Plastic,Biodegradable,10,Large,0.8,5
Automotive Parts Packaging,11.57,Biodegradable Plastic,Biodegradable,4,Medium,0.85,1
Automotive Parts Packaging,40.67,Paper,Recyclable,4,Large,0.95,2
Automotive Parts Packaging,3.79,Paper,Recyclable,1,Medium,1,0.5
Automotive Parts Packaging,8.19,Biodegradable Plastic,Biodegradable,4,Medium,0.95,1
Automotive Parts Packaging,23.74,Aluminum,Recyclable,15,Small,1,5
Automotive Parts Packaging,0.67,Biodegradable Plastic,Biodegradable,2,Small,0.8,0.5
Automotive Parts Packaging,8.85,Paper,Recyclable,1,Medium,0.95,1
Automotive Parts Packaging,8,Paper,Recyclable,3,Small,0.7,2
Automotive Parts Packaging,200.89,Biodegradable Plastic,Biodegradable,23,Large,0.7,10
Automotive Parts Packaging,5.06,Biodegradable Plastic,Biodegradable,2,Medium,0.9,0.5
Automotive Parts Packaging,18.53,Biodegradable Foam,Biodegradable,2,Medium,0.95,2
Automotive Parts Packaging,101.39,Aluminum,Recyclable,38,Medium,0.85,10
Automotive Parts Packaging,5.35,Recycled Cardboard,Recyclable,2,Medium,0.7,0.5
Automotive Parts Packaging,10.31,Recycled Cardboard,Recyclable,3,Medium,0.95,1
Automotive Parts Packaging,51.54,Biodegradable Plastic,Biodegradable,25,Medium,0.8,5
Automotive Parts Packaging,400.24,Recycled Cardboard,Recyclable,98,Large,1,20
Automotive Parts Packaging,101.87,Paper,Recyclable,77,Small,0.8,20
Automotive Parts Packaging,48.09,Paper,Recyclable,21,Medium,0.85,5
Automotive Parts Packaging,40.58,Paper,Recyclable,9,Large,0.7,2
Automotive Parts Packaging,2.68,Paper,Recyclable,1,Small,0.95,0.5
Automotive Parts Packaging,201.93,Biodegradable Plastic,Biodegradable,83,Medium,0.7,20
Automotive Parts Packaging,51.71,Aluminum,Recyclable,40,Small,1,10
Automotive Parts Packaging,38.35,Paper,Recyclable,9,Large,0.95,2
Automotive Parts Packaging,101.74,Aluminum,Recyclable,34,Medium,0.7,10
Automotive Parts Packaging,399.51,Biodegradable Foam,Biodegradable,24,Large,0.85,20
Automotive Parts Packaging,99.2,Biodegradable Plastic,Biodegradable,45,Medium,0.95,10
Automotive Parts Packaging,51.64,Recycled Cardboard,Recyclable,6,Medium,0.9,5
Automotive Parts Packaging,11.61,Biodegradable Foam,Biodegradable,9,Small,0.9,2
Automotive Parts Packaging,101.2,Paper,Recyclable,80,Small,0.7,20
Automotive Parts Packaging,49.72,Recycled Cardboard,Recyclable,21,Small,0.9,10
Automotive Parts Packaging,20.52,Glass,Recyclable,3,Large,0.7,1
Automotive Parts Packaging,49.79,Glass,Recyclable,21,Medium,0.85,5
Automotive Parts Packaging,101.7,Biodegradable Plastic,Biodegradable,73,Small,1,20
Automotive Parts Packaging,201.18,Glass,Recyclable,14,Large,1,10
Automotive Parts Packaging,20.66,Glass,Recyclable,5,Medium,0.9,2
Automotive Parts Packaging,11.08,Paper,Recyclable,3,Medium,0.8,1
Automotive Parts Packaging,48.02,Biodegradable Plastic,Biodegradable,21,Small,0.8,10
Automotive Parts Packaging,40.89,Paper,Recyclable,3,Large,0.9,2
Automotive Parts Packaging,199.54,Recycled Cardboard,Recyclable,50,Medium,0.7,20
Automotive Parts Packaging,3.91,Paper,Recyclable,1,Small,0.8,0.5
Automotive Parts Packaging,101.37,Aluminum,Recyclable,56,Small,0.85,20
Automotive Parts Packaging,26.53,Aluminum,Recyclable,13,Small,1,5
Automotive Parts Packaging,40.24,Glass,Recyclable,9,Large,0.95,2
Automotive Parts Packaging,21.67,Glass,Recyclable,1,Large,0.8,1
Automotive Parts Packaging,198.32,Recycled Cardboard,Recyclable,36,Large,0.9,10
Automotive Parts Packaging,198.4,Aluminum,Recyclable,90,Medium,1,20
Automotive Parts Packaging,100.5,Biodegradable Foam,Biodegradable,27,Small,0.9,20
Automotive Parts Packaging,200.06,Glass,Recyclable,69,Medium,0.8,20
Automotive Parts Packaging,200.09,Recycled Cardboard,Recyclable,38,Large,0.95,10
Automotive Parts Packaging,19.66,Glass,Recyclable,4,Medium,0.85,2
Automotive Parts Packaging,19.17,Aluminum,Recyclable,4,Large,0.8,1
Automotive Parts Packaging,20.06,Paper,Recyclable,8,Medium,0.7,2
Automotive Parts Packaging,4.03,Recycled Cardboard,Recyclable,1,Small,0.7,1
Automotive Parts Packaging,8.81,Biodegradable Plastic,Biodegradable,4,Medium,0.8,1
Automotive Parts Packaging,8.03,Paper,Recyclable,5,Small,0.7,2
Automotive Parts Packaging,100.33,Paper,Recyclable,16,Medium,1,10
Automotive Parts Packaging,48.77,Biodegradable Foam,Biodegradable,40,Small,1,10
Automotive Parts Packaging,39.52,Recycled Cardboard,Recyclable,4,Large,0.95,2
Automotive Parts Packaging,11.06,Biodegradable Plastic,Biodegradable,3,Medium,0.85,1
Automotive Parts Packaging,48.83,Glass,Recyclable,26,Small,0.9,10
Automotive Parts Packaging,50.34,Recycled Cardboard,Recyclable,5,Medium,1,5
Automotive Parts Packaging,3.28,Biodegradable Plastic,Biodegradable,2,Medium,0.8,0.5
Automotive Parts Packaging,19.66,Biodegradable Plastic,Biodegradable,6,Medium,0.9,2
Automotive Parts Packaging,40.76,Recycled Cardboard,Recyclable,5,Large,1,2
Automotive Parts Packaging,98.89,Biodegradable Plastic,Biodegradable,37,Medium,0.7,10
Automotive Parts Packaging,101.11,Paper,Recyclable,81,Small,1,20
Automotive Parts Packaging,3.94,Biodegradable Plastic,Biodegradable,2,Small,0.7,1
Automotive Parts Packaging,48.53,Aluminum,Recyclable,20,Small,0.85,10
Automotive Parts Packaging,20.68,Paper,Recyclable,6,Medium,0.85,2
Automotive Parts Packaging,101.88,Paper,Recyclable,95,Small,0.95,20
Automotive Parts Packaging,4.06,Biodegradable Plastic,Biodegradable,2,Medium,0.95,0.5
Automotive Parts Packaging,5.68,Recycled Cardboard,Recyclable,1,Medium,0.85,0.5
Automotive Parts Packaging,201.9,Biodegradable Plastic,Biodegradable,94,Medium,0.9,20
Automotive Parts Packaging,4.06,Paper,Recyclable,1,Medium,0.7,0.5
Automotive Parts Packaging,99.2,Biodegradable Plastic,Biodegradable,42,Medium,0.7,10
Automotive Parts Packaging,1.98,Biodegradable Foam,Biodegradable,2,Small,0.9,0.5
Automotive Parts Packaging,99.42,Biodegradable Plastic,Biodegradable,13,Large,0.8,5
Automotive Parts Packaging,99.68,Paper,Recyclable,73,Small,0.85,20
Automotive Parts Packaging,201.98,Biodegradable Foam,Biodegradable,17,Large,1,10
Automotive Parts Packaging,49.85,Aluminum,Recyclable,25,Medium,0.8,5
Automotive Parts Packaging,48.75,Glass,Recyclable,23,Medium,0.95,5
Automotive Parts Packaging,21.89,Paper,Recyclable,3,Large,0.85,1
Automotive Parts Packaging,11.22,Biodegradable Plastic,Biodegradable,3,Medium,0.9,1
Automotive Parts Packaging,11.64,Aluminum,Recyclable,2,Large,0.85,0.5
Automotive Parts Packaging,200.58,Biodegradable Plastic,Biodegradable,43,Large,0.95,10
Automotive Parts Packaging,48.93,Aluminum,Recyclable,12,Medium,1,5
Automotive Parts Packaging,6.55,Recycled Cardboard,Recyclable,2,Small,0.95,1
Automotive Parts Packaging,8.84,Aluminum,Recyclable,7,Small,1,2
Automotive Parts Packaging,199.13,Biodegradable Foam,Biodegradable,12,Large,1,10
Automotive Parts Packaging,11.88,Paper,Recyclable,5,Small,0.8,2
Automotive Parts Packaging,200.47,Aluminum,Recyclable,29,Large,0.8,10
Automotive Parts Packaging,18.26,Recycled Cardboard,Recyclable,4,Medium,0.7,2
Automotive Parts Packaging,400.37,Paper,Recyclable,98,Large,1,20
Automotive Parts Packaging,23.88,Glass,Recyclable,22,Small,0.7,5
Automotive Parts Packaging,6.69,Biodegradable Foam,Biodegradable,3,Small,0.85,1
Automotive Parts Packaging,198.57,Biodegradable Foam,Biodegradable,42,Large,0.9,10
Automotive Parts Packaging,9.83,Biodegradable Plastic,Biodegradable,2,Medium,0.7,1
